Sample_Name	mean_meth	median_meth	sd_meth	mean_cov	median_cov	sd_cov
hg38.WGBS.5N.FLI	0.708536296115417	0.8125	0.273479220601579	120.488813089237	76	546.375770855679
hg38.WGBS.5N.IHEC	0.723357802657389	0.833333333333333	0.285451053873731	25.5304672615192	25	25.3892669012328
hg38.WGBS.5N.OTP	0.722320965695086	0.833333333333333	0.282812731600182	33.1025210599061	33	35.9433817793862
hg38.WGBS.5N.UCSD	0.722577924576925	0.833333333333333	0.286535569950506	31.36862756365	32	12.7045691727931
hg38.WGBS.5N.UdS.NT	0.728996222691498	0.833333333333333	0.273169650750123	36.5671703828707	37	12.9109333451526
hg38.WGBS.5N.bismark	0.714838582094285	0.823529411764706	0.281329393388987	34.4923798727869	34	72.7992788369754
hg38.WGBS.5N.bistro	0.739656549387779	0.857142857142857	0.291752118338539	23.3224588605698	23	21.5946378951504
hg38.WGBS.5N.cnag.gembs	0.761317799120468	0.846	0.23930752398529	29.9893691971058	29	25.8066897750548
hg38.WGBS.5T.DKFZ.B060	0.707306271260684	0.837209302325582	0.293417452865155	36.0553522228008	36	30.2394480105765
hg38.WGBS.5T.DKFZ.C010	0.697848491285096	0.821428571428571	0.287464769011306	40.4690045627187	39	36.0900585717387
hg38.WGBS.5T.FLI	0.689764100622328	0.808219178082192	0.2845726979382	122.077591722771	78	540.483113825379
hg38.WGBS.5T.IHEC	0.705829816738375	0.833333333333333	0.296588986462647	27.2890707480815	27	27.3755021412994
hg38.WGBS.5T.OTP	0.703910712744364	0.833333333333333	0.294384080333123	34.0215397554234	34	37.1997309453121
hg38.WGBS.5T.UCSD	0.703194278326202	0.827586206896552	0.297977875578089	31.7177918240218	32	12.8195504372596
hg38.WGBS.5T.UdS.NT	0.711307658314889	0.833333333333333	0.285225313435249	37.603320234702	38	13.3919334877754
hg38.WGBS.5T.bismark	0.695374181254823	0.82051282051282	0.292304403592069	35.4347084805978	35	78.5107931011083
hg38.WGBS.5T.bistro	0.720420894356453	0.857142857142857	0.303266308687885	23.5422534285268	23	21.006212308185
hg38.WGBS.5T.cnag.gembs	0.737072812086709	0.85	0.268192182575732	31.4457309019689	30	27.1128701014276
hg38.WGBS.6N.DKFZ.B060	0.696116491248515	0.796296296296296	0.280149363544416	37.9207484222561	38	31.6779992987595
hg38.WGBS.6N.DKFZ.C010	0.685730267134869	0.781818181818182	0.2736710152624	42.8445477493566	41	39.4754834209481
hg38.WGBS.6N.FLI	0.679288895099614	0.772727272727273	0.271631632316109	133.277165673069	82	615.105026550153
hg38.WGBS.6N.IHEC	0.693440387957641	0.791666666666667	0.283081684604369	28.6141756130606	29	31.9594238653749
hg38.WGBS.6N.OTP	0.692275178298094	0.791666666666667	0.280949849575953	35.343457748139	35	37.1632632710436
hg38.WGBS.6N.UCSD	0.691912918895951	0.789473684210526	0.284460889696099	33.5676100560649	35	13.2421822566726
hg38.WGBS.6N.UdS.NT	0.698967391834149	0.794871794871795	0.27167256797366	39.7194565665237	40	13.5905681028127
hg38.WGBS.6N.bismark	0.684347243019361	0.78125	0.279020037952183	37.3905286474787	38	78.8215183565776
hg38.WGBS.6N.bistro	0.705878996749151	0.80952380952381	0.288744393450469	26.259885227526	26	22.1531687538407
hg38.WGBS.6N.cnag.gembs	0.726003234058997	0.808	0.247669313968602	32.4543250406537	31	31.6420022433218
hg38.WGBS.6T.DKFZ.B060	0.680085276031868	0.783783783783784	0.283234426330811	39.4596737967298	39	32.3246927215108
hg38.WGBS.6T.DKFZ.C010	0.669561855555713	0.767441860465116	0.276710652665646	44.5635869850677	43	39.9280123858935
hg38.WGBS.6T.FLI	0.660570335086106	0.754385964912281	0.27397112462887	134.891573469293	84	605.574195165971
hg38.WGBS.6T.IHEC	0.678309366841081	0.78	0.286188778303871	30.5391197060495	31	33.6824557500352
hg38.WGBS.6T.OTP	0.674714374300271	0.777777777777778	0.28462050502416	35.459762107317	35	38.1638497075041
hg38.WGBS.6T.UCSD	0.674805033725563	0.772727272727273	0.287813403571216	33.7635062345153	35	13.1729008490667
hg38.WGBS.6T.UdS.NT	0.682458344670492	0.782608695652174	0.275325027697776	41.2477698349307	42	13.7364218749934
hg38.WGBS.6T.bismark	0.667634515172254	0.767123287671233	0.282040200114849	38.5594438710478	38	88.6050572508417
hg38.WGBS.6T.bistro	0.697962202148337	0.806451612903226	0.294731483044336	23.7538609712249	24	17.8854900068934
hg38.WGBS.6T.cnag.gembs	0.704770092675751	0.8	0.263322550080724	33.9610512994253	33	31.8586613104755
